username,comment,
@BagiyoHarsono,Terimakasih PEMUDA PEMUDI DIASPORA. Kalian LUAR BIASA. Teruskan perjuangan yg bisa kalian lakukan dg cara kalian.,
@light-yc6lo,"luar biasa mba, benar dan cerdas serta peduli.",
@HazanWijaya,"Ayo masyarakat Indonesia kita dukung mbak salsa,,, dukungan penuh dan viralkan",
@IrishBoyyy,Menyala komunitas diaspora indonesia  Kita butuh orang2 diluar negeri lebih speak utk membandingkan kebobrokan di Indonesia dengan di luar negeri!,
@erikandrean8053,Mantap mbak,
@muhammadrofik3654,Kita sm2 diaspora bersmamu mbak utk berjuang demi Indonesia yg lbh baik bt seluruh rakyat,
@ratune_maya,mantap,
@dionsudiono,"Lantang semngat kak salsa, we stand with you",
@danifitraramdhani7115,"Kita butuh lebih banyak org2 seperti ini , ayo rakyat Indonesia mulai berfikir kritis lahirkan lebih banyak lagi anak bangsa seperti ini",
@merysinaga662,Kata” kakaknya benar” menyalurkan isi hati rakyat saat ini🥹,
@JenniFriskasaragih,"Menyala Boru Hutagalung, hebat, semangat ,melihat rakyat di NKRI sengsara oleh pajak",
@williamwentono1502,"Luar biasa kak, full support",
@Bambangsuroso-o2i,"gaji dn tunjangan anggota DPR 34 x lipat UMR sungguh sgt menyakitkan hati rakyat, sebab d negara lain rata2 gaji dn tunjangan parlemen d bawah 10 x lipat UMR. Sungguh2 perampokan uang APBN yg d legalkan, tdk pantas hidup d indonesia.",
@ivanyudistia5303,Luar biasa analisisnya.,
@rohanarohana1411,Revolusi,
@erdiaz4721,Batalkan segera kenaikkan gaji DPR dan lainnya,
@narniyusman2636,Hebat mbak,
@munartihasnawi902,srmoga pemuda pemudi diaspora indonesia menyuarakan keadilan untuk rakya Indonesia Amin,
@sitiharummunthe5845,"Wow mantap Boru Hutagalung, cerdas dan mampu menyuarakan aspirasi rakyat. Semoga pemerintah Indonesia berbenah diri. Gas kak salsa. Semangat",
@sakuraij.n,"luar biasa ni anak.
pinter banget! terus suarakan kak.",
@muhammadsafaatrahman7368,"Sdh jelas beban negara itu siapa,tpi rakyat yg di cekik",
@Tru-c6j,Ini baru betul Milyaran yang diterima yang dibagi cuma ratusan juta tapi yang nanggung seluruh rakyat Indonesia,
@bagassukani,HIDUP PAK MAHFUD....SEMOGA SEHAT SELALU..!!!,
@MuhammadRoyanimahpi,Banyak orang-orang yang gila rebutan jadi DPR.,
@OpReza-m7n,Bubarkan DPR,
@pingkanbambu1583,Tuh kan ...VIRALKAN !!!,
@IsmailarisMunandar-q3n,Waaaahh....perampok negri DPR ini...ayo rakyat dari sabang sampai merauke bubarkan DPR,
@MayaMade-n2o,Gaji besar tapi tidak mau sahkan UU aset kruptor,
@PetrusMeko-uf6xp,Yg berlomba lomba jadi anggota DPR bukan rakyat jelata tapi orang kaya dan orang orang yg orang tuanya berpengaruh di daerah tertentu.,
@వద్దు,"Ternyata 2 M/bulan
Pantesan rame2 artis jadi DPR",
@aditya_dto,"Rakyat diperas, pejabat pesta pora",
@pratamamanunggal2174,"Biar kenyang dpt nya, sampai mutah mutah",
@O12aja,"Bussyet kata KD rata rata 2 Milyar sebulan, koruptor juga kalah. minta Rekening tabungan nya geledah semua anggota DPR",
@pingkanbambu1583,Nambahin sakit hati klo tau kenyataan nya,
@yudabastiyanto2098,Yg besar itu uang gelapnya,
@DawingJos,Alhamdulillah pak Mahpud md buka suara ke publik ini pahlawan  .,
@purwatisukowardhani5719,"Trimakasih Pah Mahfud, biar MASYARAKAT TAU SEMUA .
Semoga Pak Mahfud sehat terus ,,BELA RAKYAT KECIL,,",
@Benkbenk1984,"Dpr cuma jadi beban negara,bubarin aja,klo gak mau bubar,mending pada stop pajak,golput seterusnya",
@Yogisurya-h6g,"Gaji tunjangan ga seberapa...!!!?
Yg gedenya tuh uang proyekan!!????
Banyak uang ghaib nya....",
@arsyayanaarsyayana5077,MasyaAllah ternyata...Viralkan..Bubarkan DPR!!!,
@hedywulan4195,Terimakasih P MD jujur saja sebagai WNI saya sangat sdh n kecewa krna selama th 20 saya hrs jauh dari anak n ortu krj ke luar negri untuk mncari nafka n modal usaha kecil2 an kenyataannya di indonesia antara pendapatan n hrg kebutuhan sangat tdk seimbang terutama para petani sprti saya,
@Yuti-z4b,Terimakasih pak Mahfud sudah memberikan pencerahan kepada kami masyarakat yang masih awam,
@musmuslikhah7090,Saya seneng sama Orang yg Jujur ...mantap Bpk Mahfud MD,
@emilykrina6385,"Bapak Mahfud pernah mengatakan jika kekayaan alam kita dikelola dengan baik rakyat tanpa bekerjapun bisa mendapatkan 30 juta perbulan namun justru anggota DPR yang mendapatkan 50 juta ++
Ini mencengangkan rakyat yang hidupnya harus diperjuangkan mengentaskan kemiskinan namun justru DPR yang diistimewakan hidup berlebihan",
@SubariEfendi,"Pak prof Mahmud MD ... .... Rakyat Indonesia perlu pencerahan hukum , terutama bagi kami di daerah terpencil yang pendidikan nya sekilo kurang secanting . Tidak pernah mengenyam pendidikan di universitas ternama . Suara pak prof Mahmud MD tentang kerakyatan yang adil dan beradab bagi seluruh rakyat Indonesia ... ...",
@wannoni,"Pk Mahfud yg sy hormati,  tolong dukung dan suarakan SAHKAN UU PERAMPASAN ASET",
@nihilismm5,"tiap nonton terus terang, gw yang pernah kuliah hukum seakan"" balik ke hadapan dosen menerangkan hal"" baru dan  belajar hal baru mulu cuy dari pak mahfud, memang orang yang jujur dan ikhlas itu kalau nyampaikan sesuatu betah dengernya, makasih  prof mahfud",
@bolukukusitem,"Luar biasa Prof Mahfud  lanjutkan. Buka terus kebejatan para koruptor  baik eksekutif, legislatif maupun yudikayif yang menyengsarakan rakyat.",
@dennyboy4074,"Pak mahfud lucu,lugu,poloss,jujur,,jarang org sepertini,wajib kita jaga bersama",
@juwahir2216,Ternyata demokrasi kalau di hayati indah ( Prof.Mahfud MD),
@bangbang_01,Setuju akar masalah negara ini adalah partai yg banyak sehingga mereka berlomba asal masuk senayan saja dan korup buat setoran ke partai,
@triosaputra5840,PAK MAHFUDS DAN BUNG ROCKY PAHLAWAN BANGSA MODREN.!!!,
@BundaAb-qq3fd,"Pak Mahfud MD 
Semoga sehat selalu 
Aamiin",
@kiranafc,Bubarin DPR Buat Votting saja ke Rakyat Pasti 99% Rakyat setuju.,
@adesuryadi2247,"Zaman digital gampang mencari informasi, ketika keadilan belum tercapai, Rakyat berhak berfikir secara logika akal sehat, agar pemerintah tetap sehat mensejahterakan rakyatnya. ayo bangkit Indonesia tercinta",
